
time,gFx,gFy,gFz,Bx,By,Bz,Azimuth,Pitch,Roll,
15:11:20:779,-0.0090,0.0068,1.0002,-30.5750,-45.8250,-17.3000,151.8326,0.3254,-0.5054,
15:11:20:781,-0.0090,0.0068,1.0002,-30.5750,-45.8250,-17.3000,146.2412,0.2759,-0.5372,
15:11:20:814,-0.0090,0.0068,1.0002,-35.3125,-41.8750,-16.2875,146.2412,0.2759,-0.5372,
15:11:20:859,-0.0205,0.0283,0.9994,-35.3125,-41.8750,-16.2875,146.2412,0.2759,-0.5372,
15:11:20:862,-0.0205,0.0283,0.9994,-35.3125,-41.8750,-16.2875,137.9416,0.1963,-0.5790,
15:11:20:883,-0.0205,0.0283,0.9994,-39.5250,-37.1125,-14.9875,137.9416,0.1963,-0.5790,
15:11:20:920,-0.0041,0.0236,0.9997,-39.5250,-37.1125,-14.9875,137.9416,0.1963,-0.5790,
15:11:20:922,-0.0041,0.0236,0.9997,-39.5250,-37.1125,-14.9875,131.6790,0.1312,-0.5994,
15:11:20:953,-0.0041,0.0236,0.9997,-42.5500,-31.2500,-13.5125,131.6790,0.1312,-0.5994,
15:11:20:981,-0.0541,0.0400,1.0007,-42.5500,-31.2500,-13.5125,131.6790,0.1312,-0.5994,
15:11:20:983,-0.0541,0.0400,1.0007,-42.5500,-31.2500,-13.5125,126.4458,0.0744,-0.6141,
15:11:21:013,-0.0541,0.0400,1.0007,-44.6250,-25.1625,-13.4125,126.4458,0.0744,-0.6141,
15:11:21:062,-0.0329,0.0228,0.9999,-44.6250,-25.1625,-13.4125,126.4458,0.0744,-0.6141,
15:11:21:063,-0.0329,0.0228,0.9999,-44.6250,-25.1625,-13.4125,122.2172,0.0293,-0.6152,
15:11:21:082,-0.0329,0.0228,0.9999,-45.0875,-21.0500,-13.4125,122.2172,0.0293,-0.6152,
15:11:21:122,0.0585,-0.0372,0.9998,-45.0875,-21.0500,-13.4125,122.2172,0.0293,-0.6152,
15:11:21:123,0.0585,-0.0372,0.9998,-45.0875,-21.0500,-13.4125,118.9235,-0.0029,-0.6111,
15:11:21:152,0.0585,-0.0372,0.9998,-45.5125,-17.9500,-12.4375,118.9235,-0.0029,-0.6111,
15:11:21:184,0.0350,0.0061,1.0007,-45.5125,-17.9500,-12.4375,118.9235,-0.0029,-0.6111,
15:11:21:186,0.0350,0.0061,1.0007,-45.5125,-17.9500,-12.4375,114.1816,-0.0522,-0.6082,
15:11:21:213,0.0350,0.0061,1.0007,-45.9125,-12.7250,-12.2250,114.1816,-0.0522,-0.6082,
15:11:21:245,0.0350,0.0061,1.0007,-45.9125,-12.7250,-12.2250,108.9685,-0.1030,-0.6059,
15:11:21:247,-0.0116,0.0232,0.9994,-45.9125,-12.7250,-12.2250,108.9685,-0.1030,-0.6059,
15:11:21:282,-0.0116,0.0232,0.9994,-45.7000,-6.0500,-10.9000,108.9685,-0.1030,-0.6059,
15:11:21:326,-0.0036,0.0188,0.9991,-45.7000,-6.0500,-10.9000,108.9685,-0.1030,-0.6059,
15:11:21:326,-0.0036,0.0188,0.9991,-45.7000,-6.0500,-10.9000,100.8770,-0.1785,-0.5938,
15:11:21:352,-0.0036,0.0188,0.9991,-44.1375,0.6750,-8.8375,100.8770,-0.1785,-0.5938,
15:11:21:385,-0.0082,0.0146,1.0005,-44.1375,0.6750,-8.8375,100.8770,-0.1785,-0.5938,
15:11:21:386,-0.0082,0.0146,1.0005,-44.1375,0.6750,-8.8375,94.3388,-0.2366,-0.5722,
15:11:21:412,-0.0082,0.0146,1.0005,-41.9625,6.7375,-8.5000,94.3388,-0.2366,-0.5722,
15:11:21:446,-0.0218,0.0301,1.0000,-41.9625,6.7375,-8.5000,94.3388,-0.2366,-0.5722,
15:11:21:447,-0.0218,0.0301,1.0000,-41.9625,6.7375,-8.5000,88.0526,-0.2904,-0.5476,
15:11:21:482,-0.0218,0.0301,1.0000,-39.4750,11.6875,-9.5250,88.0526,-0.2904,-0.5476,
15:11:21:531,0.0024,0.0169,0.9995,-39.4750,11.6875,-9.5250,88.0526,-0.2904,-0.5476,
15:11:21:534,0.0024,0.0169,0.9995,-39.4750,11.6875,-9.5250,80.0230,-0.3498,-0.5060,
15:11:21:554,0.0024,0.0169,0.9995,-36.4625,16.1000,-11.5125,80.0230,-0.3498,-0.5060,
15:11:21:591,-0.0166,0.0089,1.0001,-36.4625,16.1000,-11.5125,80.0230,-0.3498,-0.5060,
15:11:21:593,-0.0166,0.0089,1.0001,-36.4625,16.1000,-11.5125,73.0906,-0.3977,-0.4692,
15:11:21:613,-0.0166,0.0089,1.0001,-33.5250,19.5000,-13.5750,73.0906,-0.3977,-0.4692,
15:11:21:651,0.0251,0.0224,1.0004,-33.5250,19.5000,-13.5750,73.0906,-0.3977,-0.4692,
15:11:21:654,0.0251,0.0224,1.0004,-33.5250,19.5000,-13.5750,65.9730,-0.4488,-0.4197,
15:11:21:684,0.0251,0.0224,1.0004,-29.8625,23.0250,-14.8000,65.9730,-0.4488,-0.4197,
15:11:21:710,-0.0135,0.0261,1.0011,-29.8625,23.0250,-14.8000,65.9730,-0.4488,-0.4197,
15:11:21:711,-0.0135,0.0261,1.0011,-29.8625,23.0250,-14.8000,58.5187,-0.4931,-0.3593,
15:11:21:753,-0.0135,0.0261,1.0011,-26.1125,25.2000,-15.1375,58.5187,-0.4931,-0.3593,
